Radio_names,City_names,Radio_urls,Image_urls
W Radio,Baja California,https://www.radio-en-vivo.mx/w-radio,https://static.mytuner.mobi/media/radios-150px/GPfpRZTHz7.jpg
Radio Rock en Español México,Baja California,https://www.radio-en-vivo.mx/radio-rock-en-espanol-mexico,https://static.mytuner.mobi/media/radios-150px/37fTjEzDww.png
Radio Ochentas México,Baja California,https://www.radio-en-vivo.mx/radio-ochentas-mexico,https://static.mytuner.mobi/media/radios-150px/qK2vT43PqW.png
La Invasora 99.7,Baja California,https://www.radio-en-vivo.mx/la-invasora-997,https://static.mytuner.mobi/media/radios-150px/bz3tspwjazgm.png
Radio Romántica México,Baja California,https://www.radio-en-vivo.mx/radio-romantica-mexico,https://static.mytuner.mobi/media/radios-150px/gqLU27N7FU.png
104.5 Radio Latina,Baja California,https://www.radio-en-vivo.mx/radio-latina-1045,https://static.mytuner.mobi/media/radios-150px/huKdA6Qdbv.png
Radio Cumbia México,Baja California,https://www.radio-en-vivo.mx/radio-cumbia-mexico,https://static.mytuner.mobi/media/radios-150px/rMpL7qcZfe.png
La Mejor Tijuana,Baja California,https://www.radio-en-vivo.mx/la-mejor-tijuana,https://static.mytuner.mobi/media/radios-150px/qfcG8N7fBM.jpg
Cadena Dance México,Baja California,https://www.radio-en-vivo.mx/cadena-dance-mexico,https://static.mytuner.mobi/media/radios-150px/rn7myghq238s.png
Amor 103.3 FM,Baja California,https://www.radio-en-vivo.mx/amor-1033-fm,https://static.mytuner.mobi/media/radios-150px/7zm4cyaqkhcp.webp
Radio Electro México,Baja California,https://www.radio-en-vivo.mx/radio-electro-mexico,https://static.mytuner.mobi/media/radios-150px/Qc6S8Py9yb.png
La Invasora 94.5 FM,Baja California,https://www.radio-en-vivo.mx/la-invasora-945,https://static.mytuner.mobi/media/radios-150px/bbnk2uqrbvjx.png
Free FM Classics Mexico,Baja California,https://www.radio-en-vivo.mx/rocafm-clasicos-mexico,https://static.mytuner.mobi/media/radios-150px/CjGUkDfNGW.jpg
Radio Techno México,Baja California,https://www.radio-en-vivo.mx/radio-techno-mexico,https://static.mytuner.mobi/media/radios-150px/tvdAMVg9DD.png
Pulsar 107.3 FM,Baja California,https://www.radio-en-vivo.mx/pulsar-1073-fm,https://static.mytuner.mobi/media/radios-150px/B2eJAttXJL.png
91X FM,Baja California,https://www.radio-en-vivo.mx/91x-fm,https://static.mytuner.mobi/media/radios-150px/DaThGhp5R2.png
Exa FM Tijuana,Baja California,https://www.radio-en-vivo.mx/xhglx-exa-fm-tijuana,https://static.mytuner.mobi/media/radios-150px/x5emuwhdhnru.png
XHRM Magic 92.5 FM,Baja California,https://www.radio-en-vivo.mx/us/xhrm-magic-925-fm,https://static.mytuner.mobi/media/radios-150px/teEZN4yQcg.png
Los 40 Mexicali,Baja California,https://www.radio-en-vivo.mx/los-40-principales-mexicali,https://static.mytuner.mobi/media/radios-150px/8hh5gcyxjuc5.jpg
